competitor,source_id,name,address,suburb,region,venue_type,latitude,longitude,website,source_url,scraped_at,phone,email
Villbrygg,,Tempo Tempo,"Domkirkegaten 6A, 5017 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.393606,5.3292328,https://www.facebook.com/p/TempoTempo-100063545651944/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,USF Verftet,"Georgernes Verft 12, 5011 Bergen, Norway",Bergen,Norway,Restaurants & bars,60.395581,5.308993,https://usf.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Gulating Bergen Vestkanten,"Loddefjordveien 2, 5171 Bergen, Norway",Bergen,Norway,Shops,60.3632202,5.2336282,https://www.gulating.net/bergenvestkanten/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Lerøy Mat,"Torgalmeningen 8, 5014 Bergen, Norway",Bergen,Norway,Shops,60.392922,5.324643,http://leroymat.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Bergen Storsenter,"Strømgaten 8, 5015 Bergen, Norway",Bergen,Norway,Shops,60.3892373,5.3318145,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Dolviken,"Dolvikvegen 36, 5252 Søreidgrend, Norway",Bergen,Norway,Shops,60.3086664,5.2714586,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Fantoft,"Fantoftvegen 14 p, 5072 Bergen, Norway",Bergen,Norway,Shops,60.346404,5.352217,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Gullgruven,"Liamyrane 1, 5132 Nyborg, Norway",Bergen,Norway,Shops,60.4726145,5.3329025,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Lagunen,"Laguneveien 1, 5239 Rådal, Norway",Bergen,Norway,Shops,60.2968652,5.3311546,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Midtun,"Sandbrekkevn. 96, 5225 Nesttun, Norway",Bergen,Norway,Shops,60.325694,5.367592,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Oasen Bergen,"Folke Bernadottesvei 50, 5147 Fyllingsdalen, Norway",Bergen,Norway,Shops,60.3496021,5.290163,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Sletten,"Vilhelm Bjerknes vei 4, 5081 Bergen, Norway",Bergen,Norway,Shops,60.356605,5.35907,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Støletorget,"Stølegaten 15, 5003 Bergen, Norway",Bergen,Norway,Shops,60.3998557,5.3256229,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Meny Åsane Storsenter,"Åsane Senter 21, 5116 Ulset, Norway",Bergen,Norway,Shops,60.4653225,5.3220751,https://meny.no/finn-butikk/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Reindyrka,"Strandgaten 21, 5013 Bergen",Bergen,Norway,Shops,60.3947348,5.3212777,https://www.reindyrka.no/,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Bergen Storsenter,"Strømgaten 8, 5015 Bergen, Norway",Bergen,Norway,Shops,60.3892373,5.3318145,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Fyllingsdalen,"Folke Bernadottes vei 52, 5147 Fyllingsdalen, Norway",Bergen,Norway,Shops,60.348956,5.291796,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Indre Arna,"Ådnavegen 63, 5260 Indre Arna, Norway",Bergen,Norway,Shops,60.4213172,5.4650246,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Lagunen,"Laguneveien 1, 5239 Rådal, Norway",Bergen,Norway,Shops,60.2968652,5.3311546,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
Villbrygg,,Vinmonopolet - Laksevåg,"Kringsjåveien 83-89, 5163 Bergen, Norway",Bergen,Norway,Shops,60.389335,5.286455,https://vinmonopolet.no,https://villbrygg.com/en/shops,2026-08-31T20:58:04.254973+00:00,,
